complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,'pothole' points to category Pothole.,
PM-202402,Pothole,Urgent,"'pothole' points to category Pothole, and severity word 'children' requires Urgent priority.",
PM-202406,Flooding,Standard,'flooded' points to category Flooding.,
PM-202408,Other,Standard,"Both 'flooded' and 'drain' appear, so the category is genuinely ambiguous.",NEEDS_REVIEW
PM-202410,Streetlight,Standard,'streetlights' points to category Streetlight.,
PM-202411,Streetlight,Urgent,"'streetlight' and 'flickering' point to category Streetlight, and severity word 'hazard' requires Urgent priority.",
PM-202413,Waste,Standard,'garbage' and 'bins' point to category Waste.,
PM-202418,Noise,Low,'playing' and 'music' point to category Noise.,
PM-202419,Road Damage,Standard,'cracked' and 'sinking' point to category Road Damage.,
PM-202420,Road Damage,Urgent,"'manhole' points to category Road Damage, and severity word 'injury' requires Urgent priority.",
PM-202427,Flooding,Standard,'floods' points to category Flooding.,
PM-202428,Waste,Standard,'dead animal' points to category Waste.,
PM-202430,Streetlight,Standard,'lights' points to category Streetlight.,
PM-202433,Waste,Standard,'waste' and 'dumped' point to category Waste.,
PM-202446,Road Damage,Urgent,"'footpath' and 'tiles' point to category Road Damage, and severity word 'fell' requires Urgent priority.",
