complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,'heritage' points to category Heritage Damage.,
KM-202402,Heritage Damage,Standard,'historic' points to category Heritage Damage.,
KM-202405,Noise,Standard,'playing' points to category Noise.,
KM-202409,Pothole,Standard,'potholes' points to category Pothole.,
KM-202410,Pothole,Standard,'pothole' points to category Pothole.,
KM-202411,Pothole,Standard,'pothole' points to category Pothole.,
KM-202415,Drain Blockage,Standard,'draining' points to category Drain Blockage.,
KM-202418,Waste,Standard,'waste' points to category Waste.,
KM-202421,Road Damage,Urgent,"'footpath' and 'sinking' point to category Road Damage, and severity word 'hospital' requires Urgent priority.",
KM-202422,Road Damage,Standard,'buckled' points to category Road Damage.,
KM-202426,Heritage Damage,Standard,'heritage' points to category Heritage Damage.,
KM-202430,Road Damage,Low,'subsided' points to category Road Damage.,
KM-202434,Heritage Damage,Standard,'heritage' points to category Heritage Damage.,
KM-202436,Streetlight,Standard,'substation' and 'darkness' point to category Streetlight.,
KM-202438,Noise,Standard,'amplifiers' points to category Noise.,
